metric_name;metric_type;interval;unit_name;per_unit_name;description;orientation;integration;short_name
icinga.stats.services_critical_disabled_unacknowledged;gauge;;service;service;Services in state critical, unaknowledged alerts and disabled checks;0;icingastats;ici sta srvc crit  disabled_unacknowledged
icinga.stats.services_critical_disabled_unacknowledged_host_down;gauge;;service;service;Services in state critical, unaknowledged alerts, disabled checks and host down;0;icingastats;ici sta srvc crit  disabled_unacknowledged_host_down
icinga.stats.services_unknown;gauge;;service;service;Services in state unkown;0;icingastats;ici sta srvc unknown
icinga.stats.services_unknown_host_down;gauge;;service;service;Services in state unkown and host down;0;icingastats;ici sta srvc unknown_host_down
icinga.stats.services_unknown_active;gauge;;service;service;Services in state unkown and active checks;0;icingastats;ici sta srvc unknown_active
icinga.stats.services_unknown_active_host_down;gauge;;service;service;Services in state unkown, active checks and host down;0;icingastats;ici sta srvc unknown_active_host_down
icinga.stats.services_unknown_passive;gauge;;service;service;Services in state unkown and passive checks;0;icingastats;ici sta srvc unknown_passive
icinga.stats.services_unknown_passive_host_down;gauge;;service;service;Services in state unkown, passive checks and host down;0;icingastats;ici sta srvc unknown_passive_host_down
icinga.stats.services_unknown_disabled;gauge;;service;service;Services in state unkown and disabled checks;0;icingastats;ici sta srvc unknown_disabled
icinga.stats.services_unknown_disabled_host_down;gauge;;service;service;Services in state unkown, disabled checks and host down;0;icingastats;ici sta srvc unknown_disabled_host_down
icinga.stats.services_unknown_scheduled;gauge;;service;service;Services in state unkown and scheduled downtime;0;icingastats;ici sta srvc unknown_scheduled
icinga.stats.services_unknown_scheduled_host_down;gauge;;service;service;Services in state unkown, scheduled downtime and host down;0;icingastats;ici sta srvc unknown_scheduled_host_down
icinga.stats.services_unknown_active_scheduled;gauge;;service;service;Services in state unkown, scheduled downtime and active checks;0;icingastats;ici sta srvc unknown_active_scheduled
icinga.stats.services_unknown_active_scheduled_host_down;gauge;;service;service;Services in state unkown, scheduled downtime, active checks and host down;0;icingastats;ici sta srvc unknown_active_scheduled_host_down
icinga.stats.services_unknown_passive_scheduled;gauge;;service;service;Services in state unkown, scheduled downtime and passive checks;0;icingastats;ici sta srvc unknown_passive_scheduled
icinga.stats.services_unknown_passive_scheduled_host_down;gauge;;service;service;Services in state unkown, scheduled downtime, passive checks and host down;0;icingastats;ici sta srvc unknown_passive_scheduled_host_down
icinga.stats.services_unknown_disabled_scheduled;gauge;;service;service;Services in state unkown, scheduled downtime and disabled checks;0;icingastats;ici sta srvc unknown_disabled_scheduled
icinga.stats.services_unknown_disabled_scheduled_host_down;gauge;;service;service;Services in state unkown, scheduled downtime, disabled checks and host down;0;icingastats;ici sta srvc unknown_disabled_scheduled_host_down
icinga.stats.services_unknown_acknowledged;gauge;;service;service;Services in state unkown and aknowledged alerts;0;icingastats;ici sta srvc unknown_acknowledged
icinga.stats.services_unknown_acknowledged_host_down;gauge;;service;service;Services in state unkown, aknowledged alerts and host down;0;icingastats;ici sta srvc unknown_acknowledged_host_down
icinga.stats.services_unknown_active_acknowledged;gauge;;service;service;Services in state unkown, aknowledged alerts and active checks;0;icingastats;ici sta srvc unknown_active_acknowledged
icinga.stats.services_unknown_active_acknowledged_host_down;gauge;;service;service;Services in state unkown, aknowledged alerts, active checks and host down;0;icingastats;ici sta srvc unknown_active_acknowledged_host_down
icinga.stats.services_unknown_passive_acknowledged;gauge;;service;service;Services in state unkown, aknowledged alerts and passive checks;0;icingastats;ici sta srvc unknown_passive_acknowledged
icinga.stats.services_unknown_passive_acknowledged_host_down;gauge;;service;service;Services in state unkown, aknowledged alerts, passive checks and host down;0;icingastats;ici sta srvc unknown_passive_acknowledged_host_down
icinga.stats.services_unknown_disabled_acknowledged;gauge;;service;service;Services in state unkown, aknowledged alerts and disabled checks;0;icingastats;ici sta srvc unknown_disabled_acknowledged
icinga.stats.services_unknown_disabled_acknowledged_host_down;gauge;;service;service;Services in state unkown, aknowledged alerts, disabled checks and host down;0;icingastats;ici sta srvc unknown_disabled_acknowledged_host_down
icinga.stats.services_unknown_unacknowledged;gauge;;service;service;Services in state unkown and unaknowledged alerts;0;icingastats;ici sta srvc unknown_unacknowledged
icinga.stats.services_unknown_unacknowledged_host_down;gauge;;service;service;Services in state unkown, unaknowledged alerts and host down;0;icingastats;ici sta srvc unknown_unacknowledged_host_down
icinga.stats.services_unknown_active_unacknowledged;gauge;;service;service;Services in state unkown, unaknowledged alerts and active checks;0;icingastats;ici sta srvc unknown_active_unacknowledged
icinga.stats.services_unknown_active_unacknowledged_host_down;gauge;;service;service;Services in state unkown, unaknowledged alerts, active checks and host down;0;icingastats;ici sta srvc unknown_active_unacknowledged_host_down
icinga.stats.services_unknown_passive_unacknowledged;gauge;;service;service;Services in state unkown, unaknowledged alerts and passive checks;0;icingastats;ici sta srvc unknown_passive_unacknowledged
icinga.stats.services_unknown_passive_unacknowledged_host_down;gauge;;service;service;Services in state unkown, unaknowledged alerts, passive checks and host down;0;icingastats;ici sta srvc unknown_passive_unacknowledged_host_down
icinga.stats.services_unknown_disabled_unacknowledged;gauge;;service;service;Services in state unkown, unaknowledged alerts and disabled checks;0;icingastats;ici sta srvc unknown_disabled_unacknowledged
icinga.stats.services_unknown_disabled_unacknowledged_host_down;gauge;;service;service;Services in state unkown, unaknowledged alerts, disabled checks and host down;0;icingastats;ici sta srvc unknown_disabled_unacknowledged_host_down
icinga.stats.flap_disabled_services;gauge;;service;service;Services with disabled Flappingdetection;0;icingastats;ici sta flap disabled_services
icinga.stats.flapping_services;gauge;;service;service;Flapping services;0;icingastats;ici sta flap services
icinga.stats.flap_disabled_hosts;gauge;;host;host;Hosts with disabled Flappingdetection;0;icingastats;ici sta flap disabled_hosts
icinga.stats.flapping_hosts;gauge;;host;host;Flapping hosts;0;icingastats;ici sta flap hosts
icinga.stats.notification_disabled_services;gauge;;service;service;Service with disabled notification;0;icingastats;ici sta notification_disabled_services
icinga.stats.notification_disabled_hosts;gauge;;host;host;Hosts with disabled notification;0;icingastats;ici sta notification_disabled_hosts
icinga.stats.event_handler_disabled_services;gauge;;service;service;Service with disabled event handler;0;icingastats;ici sta event_handler_disabled_services
icinga.stats.event_handler_disabled_hosts;gauge;;host;host;Hosts with disabled event handler;0;icingastats;ici sta event_handler_disabled_hosts
icinga.stats.min_service_check_execution_time;gauge;;exectime;seconds;Minimal service check execution time;0;icingastats;ici sta min_service_check_execution_time
icinga.stats.max_service_check_execution_time;gauge;;exectime;seconds;Maximal service check execution time;0;icingastats;ici sta max_service_check_execution_time
icinga.stats.average_service_check_execution_time;gauge;;exectime;seconds;Avarage service check execution time;0;icingastats;ici sta average_service_check_execution_time
icinga.stats.min_service_check_latency;gauge;;latency;seconds;Minimal service check latency;0;icingastats;ici sta min_service_check_latency
